HITID,index,comment_index,comments,keys,Worker1,Answer1,Worker2,Answer2,Worker3,Answer3,Worker4,Answer4,Worker5,Answer5,Avg,Date
385MDVINFCFXMBE23O9YRV5LGYYJWA,62,11,Congrats! Awesome result!,59230985,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,2,AQR70X1KIOP6B,2,1.6,2015-06-15 07:52:18 UTC
3L21G7IH47WUGZTYS0LG8SUFXP01YP,323,0,Love the swag. Cheers!,342579877,A1T79J0XQXDDGC,1,A32QBXDPHHSTOD,2,A3CFNUD7VR2E1E,2,A3KOVCQYR8K3HY,2,A9K0CV70JWG1W,1,1.6,2015-06-15 08:39:06 UTC
3VJ4PFXFJ379TEMTEIHKG8H55VUAUN,764,45,"Guys, I got my clock a few days ago and it is stunning  more than I had tout. And the ease of to gelling through the pre loaded settings is fantastic. I really hope you get some people wanting to put this in their shops, as more people will want it when they see it in person. Great job with the product, and a fantastic kickstarter experience.",835947417,A1T79J0XQXDDGC,2,A1V6P1ZE6Q8YEW,0,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.4,2015-06-15 08:25:56 UTC
3DA79LNS59VU9G8J5YC0O4HXG7VT3J,664,5,Well done mate!,719724525,A291KO368YRYCR,2,A32QBXDPHHSTOD,1,A3HW4QDJB63OQ2,1,A3KOVCQYR8K3HY,2,AKJ8CNFZH73K6,1,1.4,2015-06-15 08:08:40 UTC
3I7SHAD35MW8X4JMYDEEF7YLR1L7M1,998,22,"What an awesome idea! I cant wait for this to be fully funded and up and running. What an incredible tool for aspiring entrepreneurs. Good luck, mike. This is going to be great.",1073213518,A291KO368YRYCR,2,A3CFNUD7VR2E1E,2,A3HW4QDJB63OQ2,2,A3ITZNJQUTIZ4C,1,AKJ8CNFZH73K6,0,1.4,2015-06-15 08:19:17 UTC
3W5PY7V3UP71BG92IPRMCSQ1R6YJY9,74,5,stoked! cant wait to test this,71378264,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A3CFNUD7VR2E1E,2,A9K0CV70JWG1W,1,1.4,2015-06-15 08:30:27 UTC
3A520CCNWN0S4IP7OI2FCQV2J7ZEA9,18,3,Woo hoo! Congrats folks! Looking forward to my kit.,16847777,A1ZFUBB7KVAT4G,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,AQR70X1KIOP6B,2,1.4,2015-06-15 08:36:03 UTC
3EN4YVUOUCSCBBJSDT5KTEJSP04XJH,193,6,Pedro Silva Thanks for your confirmation! We are so glad to hear that. Please enjoy the toy!,210575971,A16U1L4R6WV5G2,2,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,AQR70X1KIOP6B,2,AXMPSUNKUBEIL,1,1.4,2015-06-15 07:42:23 UTC
3YD0MU1NC217V3AX1AO96G3LXKW7AH,76,22,Congratulations on being successfully funded guys!,71527287,A1PE0077HI218F,1,A1T79J0XQXDDGC,1,A32QBXDPHHSTOD,2,A3KOVCQYR8K3HY,2,AQR70X1KIOP6B,1,1.4,2015-06-15 08:21:35 UTC
3IZVJEBJ6AKPSB40USZGHVUYBUJZ6B,268,21,"Allison, I love it that you brought out the way that Who Are You, Jesus can reach parents along with their children. So many churches are looking for ways to connect church and home. The app would be a fun and engaging means for children, parents, and grandparents to talk about God.",277663796,A1V6P1ZE6Q8YEW,1,A291KO368YRYCR,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.4,2015-06-15 08:30:10 UTC
3BS6ERDL937MPAZ42AAJQ3BVNC9D6Q,969,32,Great product here. Lets get this going.,1049652474,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.4,2015-06-15 08:24:09 UTC
3TCFMTM8HEO4FE0RZFELZOTAIA4218,77,34,"My boys 4  6 absolutely love Sparkle Stories, and so do my husband and I! While we are Android users and wont get to enjoy the new app for a while, we are thrilled to contribute and support the growth of Sparkle Stories. Thank you for the many, many hours of joy you bring our children.",73557742,A1T79J0XQXDDGC,2,A1V6P1ZE6Q8YEW,1,A291KO368YRYCR,2,A3KOVCQYR8K3HY,1,A9K0CV70JWG1W,1,1.4,2015-06-15 08:01:29 UTC
3ZCC2DXSD74R65414PSPMF5P4A8YYJ,767,7,Awesome Justin ! Loved looking at your postings. Great feedback,838575496,A1V6P1ZE6Q8YEW,1,A291KO368YRYCR,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.4,2015-06-15 08:24:36 UTC
3OREP8RUT2BV76QQ0RSZ740KE50GBO,739,120,Great concept! Good luck with the campaign.,814116490,A1T79J0XQXDDGC,1,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.4,2015-06-15 08:24:38 UTC
34YWR3PJ28A595I6RLVEB94WQR00XF,130,36,Woo hoo  goal has been reached and already 1577 over!,126206621,A16U1L4R6WV5G2,2,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,1.4,2015-06-15 07:36:10 UTC
3I6NF2WGIGWTIQ9HZH1M4I0S49E5GC,469,51,Oh my goodness! This is awesome. Im an Interior Designer and have always dreamed of helping my clients create a personal brand for themselves and what better way than helping them create a custom piece of furniture. I cant wait to see this become a reality as well.,488973699,A18JA2145UWXG,1,A1T79J0XQXDDGC,2,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,AKJ8CNFZH73K6,1,1.4,2015-06-15 07:31:31 UTC
31HLTCK4BLVAGKOW58JZ8GURHXGVG9,946,10,Received my reward yesterday and it all looks great! It was complete and I look forward to trying out the screws. Love the beer koozie! Nice job guys and good luck with the product.,1022046093,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,2,1.4,2015-06-15 08:32:40 UTC
3G57RS03HH533W1A02GX2E6RUQ925Q,916,25,"This is one of the most exciting projects in the world! It is a revolutionary new model for biotech development, and I wish it the greatest possible success.",987215297,A1PE0077HI218F,0,A1T79J0XQXDDGC,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,1.4,2015-06-15 08:41:53 UTC
3ZLW647WALV0PHE6MJS4NH87GUI321,586,14,Got it yesterday. They look beautiful. Great job. Now I need to do some soldering when I have time.,625769084,A1T79J0XQXDDGC,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,AQR70X1KIOP6B,2,1.4,2015-06-15 07:57:21 UTC
35YHTYFL1G342KS1UODHQVUFGIGVFA,131,2,"Hey guys, I look forward to see the jacket! Everything ok All the best!",127572572,A1T79J0XQXDDGC,1,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,1,A9K0CV70JWG1W,2,ANMWPCK7TJMZ8,1,1.4,2015-06-15 07:56:31 UTC
375VSR8FVW9IEU2KMG2ESQLU7HWRZ0,143,81,"So excited for this. Ive been in love with the idea of a softwarepatchable digital modular system ever since the Nord Modular G2 was a thing. And this just looks like a whole TON of fun! Have pledged, best of luck! Not that youll need any luck by the looks of things ",147947813,A18JA2145UWXG,1,A2RD843ESYKRP2,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,2,1.4,2015-06-15 07:35:56 UTC
3LEG2HW4UFNV5TUZ6ET6OQX4JKN2F9,996,207,Guys I just wanted to say Im so excited about the apparel. I just got the triple pack!! I live in San Francisco so ill be sporting it at the clubs!! Best of luck!,1072422950,A1ZFUBB7KVAT4G,2,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,1,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,1,1.4,2015-06-15 07:51:30 UTC
31JUPBOORN4SR06K8655TUFR2G1L80,684,19,"Just received my package here in Australia, Finished product looks great and am looking forward to learning how to get the most out of them. Thanks Rick!",745695249,A1ZFUBB7KVAT4G,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,AXMPSUNKUBEIL,1,1.4,2015-06-15 07:58:06 UTC
36AZSFEYZ40EP3GLPMRL753U1KOVBS,903,10,"Awesome! Glad to have you on the beta, Caspian!",972070423,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,AKJ8CNFZH73K6,1,AQR70X1KIOP6B,1,1.4,2015-06-15 07:50:47 UTC
3FK4G712NX0XEXGJ6D8BM7TN64GSSL,168,22,summiteer thats awesome. Im glad you are going to be joining us! Cheers.,185008582,A1PE0077HI218F,1,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,1,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,2,1.4,2015-06-15 08:06:53 UTC
37VHPF5VYC3ZOWCEVTC6QBP487N8C7,294,23,"Hi Alex, Congrats! It is revolutionary! Two questions 1 How to set up basic board to connect my wifi 2. Is it simple to use this 3 Nokia 5110 display with BS basic httpwww.dxlisting.comelectricaltools499arduinoscmsupplies436displays476replacement16lcdscreenwithbluebacklightfornokia5110blue1458601020812 Regards Robert",306661418,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A3CFNUD7VR2E1E,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.4,2015-06-15 08:18:13 UTC
34ZTTGSNJXOWB8NQ3F77NT7KF5EHQ0,818,7,"Congratulations, guys! Everyone who participated in this campaign  thank you very much!",884613928,A1PE0077HI218F,1,A1T79J0XQXDDGC,1,A3Q92WMGIHEPSD,2,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,2,1.4,2015-06-15 08:12:10 UTC
3E9ZFLPWOYSGG0ZMVBKKHD4SCLFXI5,182,62,I received my rewards today. Everything looks great. Thank you! The key chain carrier was definitely worth the wait! It even works on nonJanus tops with similar sized stems.,199122327,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A1ZFUBB7KVAT4G,2,A3HW4QDJB63OQ2,1,AXMPSUNKUBEIL,2,1.4,2015-06-15 08:37:41 UTC
30EMX9PEVKJZQE3B14Z9VL2DPA3KSW,120,20,Hi Matt! I met you at the Atlantis Social Dinner at Dixie Crossroads back in July at the table with Angela and Ranz. Congrats on reaching the goal and Im glad I could support this project!,120120650,A1ZFUBB7KVAT4G,2,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.4,2015-06-15 07:44:39 UTC
37NXA7GVST6Q2C2XGZGFL8ZZDE2LV5,380,5,"Wow, Facets is so amazing. This worthwhile project deserves to be funded!",401001244,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,2,A3CFNUD7VR2E1E,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.4,2015-06-15 08:32:18 UTC
374UMBUHN5PIMG42YRN1H7LRMK8TCH,749,11,"I just saw that you got 3 million in additional funding, Congratulations! httpupstart.bizjournals.commoneyloot20140618othermachinecogets3mtohelpmakersrunown.html",821456437,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A1ZFUBB7KVAT4G,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,2,1.2,2015-06-15 08:58:10 UTC
3LAZVA75NIRPB67S5HCWBK6IBLEO2H,572,15,"While I have no real need for blinking fish, I love the whole attitude of this project and just couldnt pass it by. Besides, maybe I will be able to get one of my nieces or nephews interested in electronics at a young age, and having a handful of unassembled Twynglinge Piscium ready to go will be helpful!",607713968,A1PE0077HI218F,1,A1V6P1ZE6Q8YEW,0,A291KO368YRYCR,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,1.2,2015-06-15 08:30:06 UTC
3X878VYTIEI2RUR5CQA1KHECU097FU,940,37,"Frank, thank you for the support!!",1016134832,A1PE0077HI218F,1,A1V6P1ZE6Q8YEW,1,A2RD843ESYKRP2,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.2,2015-06-15 08:01:43 UTC
3IH9TRB0FBZ8QZETOIZDM40R761I1Z,938,44,"Thanks, as always, for the updates, Matt! Looking forward to my IllumiBowls!",1012673335,A32QBXDPHHSTOD,1,A3Q92WMGIHEPSD,1,A9K0CV70JWG1W,2,AKJ8CNFZH73K6,1,AXMPSUNKUBEIL,1,1.2,2015-06-15 07:57:22 UTC
3MG8450X2OAGGISV31ZH63604HTUPM,615,5,Teaching is one of the best ways to learn! We love the concept of peer to peer learning and wish Judo Math and tremendous success making math fun and accessible for children everywhere.,658701111,A32QBXDPHHSTOD,2,A3KOVCQYR8K3HY,1,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,AXMPSUNKUBEIL,1,1.2,2015-06-15 07:34:35 UTC
35YHTYFL1G342KS1UODHQVUFGIGFVU,606,548,Excitement Level Amber,648729703,A1PE0077HI218F,1,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AKJ8CNFZH73K6,1,1.2,2015-06-15 08:11:35 UTC
32204AGAABC5YJTC0J2VTF3I9I5GH4,784,23,"Yea, updated my pledge to the Quad Pi!  Thank you for listening and for adding the extra options. Only 25 to go and 11 days  Im sure youll make funding!",851249323,A1PE0077HI218F,1,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A2RD843ESYKRP2,2,A9K0CV70JWG1W,1,1.2,2015-06-15 08:04:41 UTC
372AGES0I45T9Z25LYETV55JZHYXR9,463,26,LOL! I wish i could have been there for the very first discussion on this! I hope no matter what happens you guys get this done! i would love to see a video of it,481266725,A16U1L4R6WV5G2,2,A1V6P1ZE6Q8YEW,0,A1ZFUBB7KVAT4G,1,A32QBXDPHHSTOD,1,ARX0S1CIDJLOX,2,1.2,2015-06-15 07:49:16 UTC
3BPP3MA3TCK901GBL9R5L4BDDJZLEZ,729,74,Congrats guys on meeting your goal!!,805594447,A1T79J0XQXDDGC,1,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,1,1.2,2015-06-15 08:24:05 UTC
3Z33IC0JC0MV1A1OR2DPGZ84DKL9VW,821,29,"Just finished leftmouseasjoystick firmware last night! Yes it works, and yes its sweet in SC as a third joystick, even after only messing around with it for a few minutes. Sure beats the way I used to play Descent, mapping many the 6 flight axes to keyboard keys shudder. Brought our camera and tripod to the office today, and a bigger desk is incoming tomorrow to spread out a bit, so will try to shoot a bit of live footage for an update hopefully by this weekend.",886946870,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.2,2015-06-15 08:04:42 UTC
3TUOHPJXYHXYHVJRKSOZI4D0RWDXWC,514,41,Guys happy 100 Glad to be the one to get you to 100 D Good luck and cant wait for until March!,538700625,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,0,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,1.2,2015-06-15 08:28:08 UTC
3NCN4N1H1GH1HY7CNV5UXO9HFHMNB3,914,7,Thanks Assata! Your support means a lot.,981875272,A1V6P1ZE6Q8YEW,1,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,1,A3KOVCQYR8K3HY,1,AKJ8CNFZH73K6,1,1.2,2015-06-15 07:49:07 UTC
3NSCTNUR2ZNS8ZWEDH9C8WPP6E1A55,945,9,Kirk Hill Thank you so much for your donation and your feedback! Both mean so much to us! VoiceKiteRocks,1021063280,A18JA2145UWXG,2,A1T79J0XQXDDGC,0,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,1,A3HW4QDJB63OQ2,2,1.2,2015-06-15 07:56:14 UTC
3GITHABACYL7TL7G42CJWV6DLB9N21,26,22,Yay!,23449435,A16U1L4R6WV5G2,1,A32QBXDPHHSTOD,2,A3Q92WMGIHEPSD,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,1,1.2,2015-06-15 08:04:48 UTC
3CO05SML7V5LC9WUIMPMMRI8PAER09,578,124,"Congratulations team, happy to support conpatriotas. Cant wait for my maker kit.",615960351,A16U1L4R6WV5G2,2,A1V6P1ZE6Q8YEW,1,A3CFNUD7VR2E1E,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,1,1.2,2015-06-15 08:18:25 UTC
3YCT0L9OMM90YKOEYHRPNDJHJ58NS4,712,42,Lem Fugitt Thank you so much for your support! We really appreciate it.,781308990,A16U1L4R6WV5G2,2,A1V6P1ZE6Q8YEW,1,A1ZFUBB7KVAT4G,1,A32QBXDPHHSTOD,1,A9K0CV70JWG1W,1,1.2,2015-06-15 07:43:22 UTC
3R6RZGK0XFCA2B9WZE55FG1VMT6YVA,755,189,"Jerry, thanks for backing, and for being one of our first singlecolor shades buyers! These are a little heaver than regular glasses and you dont want to drop them, so we definitely recommend attaching a lanyard to holes at the ends of the arms. Weve done some successful experiments with a small piece of thin black elastic cord that loosely holds them in place, too. There will be a nose bridge on all versions, though it may be slightly more refined on the February builds. The early access ones have a 3D printed bridge. Any hacking you do, wed be very interested in seeing! Your ideas sound awesome!",826672481,A18JA2145UWXG,2,A1T79J0XQXDDGC,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AQR70X1KIOP6B,1,1.2,2015-06-15 07:56:00 UTC
3HEADTGN2PS15AXALJDB7K8YJ6QRV0,105,23,Looking great guys!! Keep up the good work.,104770841,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,ARX0S1CIDJLOX,2,1.2,2015-06-15 07:27:50 UTC
3S829FDFT21Z8PJ03XJ9QGOFKG8DXK,577,61,Congratulations! Now please think about releasing it for the Gear VR as well. There is much more opportunity to get this in the hands of more people with the Gear VR being easier to show to less tech savvy people. But either way congrats!,614728836,A16U1L4R6WV5G2,1,A1T79J0XQXDDGC,1,A291KO368YRYCR,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.2,2015-06-15 08:40:03 UTC
37VUR2VJ6APHDWSTW83RB12WU1I1CH,465,39,Just increased my pledge because I want to see this happening...,484706700,A18JA2145UWXG,1,A1PE0077HI218F,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,1,1.2,2015-06-15 08:27:55 UTC
3K3G488TR28KVF3V2D6YYW4UAWN5Q7,770,13,You are encouraging. Keep it going. Peace,841585005,A1PE0077HI218F,1,A1V6P1ZE6Q8YEW,1,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,1,1.2,2015-06-15 08:19:18 UTC
