,comment_index,comments,keys
27,37,"So for those playing along at home, in the last week weve had  All the 10 copies of the maxifab on ebay sell  The forums are now no longer accessible  the maxifab user on facebook suddenly popup and get in contact with a disgruntled ebay buyer, but with no contact to the rest of us posing questions. Rick and Faisal, have you heard anything from your email attempts",23687165
28,7,I hope you guys make it. Being selected as project of the day would be an immense help.,26221344
29,28,"Ismadi Are you talking to me, I have no clue what your saying So you had good service What I dont care anyway... I just want this battery company to realize that costumer service is an integral part of having a successful business, and so far they get a thumbs down.",26443598
30,163,"Oh Mark Hobbs, with their track record, getting a replacement is really low. They are still trying to finish deliveries for backers. So chances are we will Have a black strange looking ball on our night stand.",27174402
31,13,"You can now see all the classes happening around the world right now at httpTradeSchool.coop just scroll down for example, this week Guadalajara Latn IIJun 30, 2012 1000pm Diademas para nias Jun 30, 2012 1000pm ENEAGRAMAJun 30, 2012 1100pm  London You versus photographyJul 1, 2012 200pm Keep Cool  Carry on  making ice cream with dried ice Jul 1, 2012 400pm How to read between the lines. Textual analysis masterclass.Jul 8, 2012 200pm Brick FactoryJul 8, 2012 200pm Knitting for BeginnersJul 8, 2012 400pm Dancing the Irish WayJul 8, 2012 400pm Willow Lantern MakingJul 22, 2012 200pm Build a Bug HotelJul 22, 2012 200pm REVAMPING FURNITUREJul 22, 2012 400pm Introduction to StreetUrban ArtJul 22, 2012 400pm  Manila Basic Espaol for TravelersJul 19, 2012 1130am Homeschooling 101Jul 21, 2012 200am DIY Workshop Three PursesJul 28, 2012 700am Introduction to ZenAug 4, 2012 200am Mind Mapping Made EasyAug 18, 2012 200am Simple Book Binding Aug 25, 2012 700am Braids! Braids! Braids! Sep 8, 2012 700am  Paris Dis Maman, cest quoi un trader  Une introduction  la FinanceJun 28, 2012 630pm",27921649
32,28,"Hi Max, great to hear your enthusiasm! We accelerated getting user feedback by doing further testing with existing prototypes and running the feedback process with kickstarter backers. Based on this early feedback we are already making some big improvements on the grip design, such that we may be able to do less user testing with the production prototypes once we have them. If we do production prototype testing and we have spots available I will definitely get in touch. The next update will describe improvements to the grip design and where we are in the fulfillment process. If you have any other questions please let us know, and thanks for the encouragement!",28003991
33,33,Heres a short run in mode 0 the default operating mode avalanche diode with mild whitening  remember were suggesting you use it as an entropy source feeding a tried and true PRNG like the one in the kernels devrandom rather than using the bits directly  you can also see the results from testing with ent and the ongoing results from full dieharder runs as we get them here httpmoonbaseotago.comonerngtheory.html Once were done with the dieharder tests Ill run some several day rngtest runs on various interesting modes rngtest  devttyACM0 rngtest 5 Copyright c 2004 by Henrique de Moraes Holschuh This is free software see the source for copying conditions. There is NO warranty not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. rngtest starting FIPS tests... rngtest bits received from input 2824942592 rngtest FIPS 1402 successes 141143 rngtest FIPS 1402 failures 104 rngtest FIPS 140220011010 Monobit 8 rngtest FIPS 140220011010 Poker 15 rngtest FIPS 140220011010 Runs 38 rngtest FIPS 140220011010 Long run 45 rngtest FIPS 140220011010 Continuous run 0 rngtest input channel speed min477.012 avg561.910 max5449.568Kibitss rngtest FIPS tests speed min4.063 avg19.223 max48.781Mibitss rngtest Program run time 5049876079 microseconds,28438372
34,3,"Recd mine too Igor, thx!",29939396
35,17,Im considering adding a reward tier for a Huxley full kit. I would be able to print the parts but need to souce out the hardware and electronics. Would anyone be interested in that reward,30154863
36,6,The right channel of my new Cornet 3 is silentdead today. I verified that by swapping Piccolo2 out with my Piccolo1. The right channel is still silent. Everything is back to normal after Ive replaced Cornet 3 with Graham Slee Era Gold Reflex. What do I do now,32636383
37,113,"Rick Thanks for backing! We are getting some samples to the folks at Buccaneer, but they will not ship until the week after Thanksgiving. The high temp PLA should print well, the CFPLA should print well if it feeds OK in their filament holding mechanism it is very stiff so may be an issue. The Buccaneer does not get hot enough to print with the PCABS as I understand it. Dustin",33196284
38,136,"Great project... pledged for 3... i am interested in buying a set of playbulb candles... but the online store does not ship to Malta, Europe. any idea where i can buy them from Thanks",33236797
39,0,Hey Alex! Its still on track with the last update. Heres a link to the last one httpswww.kickstarter.comprojects822424463megabarthemostversatileandaffordableworkoutposts1226993,35335530
40,14,Phil If I could Like your comment I would!,35462510
41,1,"Doug, Im sorry your unhappy. I have encountered a pretty serious shipping issue apparently. I shipped your girlfriends dock along with a bunch of other ones a month ago. Since I became aware of the problem, sadly your girlfriend isnt the only one that this happened too, I had to remake the five docks that went astray, new ones went out this morning. If your having an issue with the connection on your dock send it back to me and I will rewire it for you free of charge and send it back out to you the same day. If she doesnt get her dock by next Friday I will make another one and overnight it to you. Again I apologize for the delay. Dan",36250191
42,930,Nothin is impossible... Kiddo keep your attitude positive towards perception of your life... Then you will achieve impossible.. Take care. Will get there,37939826
43,1,"Hi Chris, just got my package yesterday. Hope to put it together for Xmas ",38653923
44,50,"Congrats, it will be nice to be able to hear now...hands free to top it off.",39141561
45,34,I would like to ask if Fly12 can have a loud electric horn as a safety feature It would have been great as some inattentive drivers need to be alerted that they might be about to collide with fellow cyclists.,40744324
46,8,How about a Shipping Update since its now JUNE,41369413
47,32,"Yep. It is a Torx T8. It looks like a startipped one, with a hole in it because the controllers screws have a circular type of bump in the middle. I saw them relatively cheap on Amazon, running at 5.",44508266
48,73,Alon Walter Thanks for your input ,45179890
49,228,"Thanks all for your backing and support. Well try to get some example projects  great ideas up shortly. If anyone has unique things that you are planning on doing with the TinyDuino  TinyLily, please feel free to post them here, Im sure everyone would be interested in hearing your plans! Thanks, Ken",45362297
50,27,pledge,47484889
51,50,"I received the survey too  Im baffled as to why they still list Android connectivity on their website when not only is this not true, it is obviously of no importance to them. I stumbled over the sensor in my junk drawer the other day and thought I would doublecheck to see if I was able to use it yet  nope still a hundred dollar paperweight. I assume their next inspiring quote will involve fools and money.",48703079
52,23,"Hi, Any Chance you can add Ireland to your list of shipment, You have already added UK which part of it is already on the Island of Ireland, but I live on the other part of the Island.",49817394
53,6,Congratulations!,51606780
54,42,"Hi. Anyone there Do you have any news, especially regarding the iOS version",52205960
55,426,"Hi Razvan,  Great ideas, as always. We will explore these different use cases to see if they can be implemented without increasing the risk of fraud to both parties. Protecting LoopWallet users from fraud is our top priority and Im sure you can appreciate our emphasis on security. Thank you for the support and feedback! Take care, The Loop Team",53970379
56,130,I have quick question about the science. how long does it take for the body to notice the cooling and start the calorie burning process And Im also curious if you seen that the body adapts to this cooling process at which point you wont see the same results,54399531
57,1,This is very exciting! The specs on the machine are much more than I expected! Are there training materials available that we can study up on while awaiting the machines arrival Are there detailed specs on what the machine can cut i.e. thicknesses in various materials,54406707
58,13,What are the dimensions of the finished clock I am thinking about getting a clear acrylic display box to put over it and keep the dust off of it.,56150975
59,27,The shipment finally arrived! Awesome!!!,57250110
60,1,"John, What soldering paste do you recommend  both leaded and lead free Thanks, Rick",57417711
61,4,"Lorene It looks like you can still edit your address after answering the survey. I can edit mine now, although I guess I dont know when they might lock it down.",58966826
62,11,Congrats! Awesome result!,59230985
63,26,Im inclined to agree with Richard on this. Shipping the strip back to the UK every two years or so seems both expensive and time consuming. Is it possible to change the battery type to something more commonally available or is that a serious design issue Im probably displaying my electronicsdesign ignorance now. Just an idea.,60181987
64,8,I had backed but due to money constraints I had to drop my backer level down before the end. Is there a way to get the X PlusOne DIY KIT at or near the KS price still,61895566
65,416,That is good since an update is so far a day late.,63698042
66,127,Great tool Please add upgrade for more WOODEN BOARDS for those of us that missed it. g,63702546
67,12,"Used a few times  now no longer charges anything. Ah, no big deal, just a warning for anyone who checks here while considering the purchase of one.",63790091
68,13,Nous sommes prts  rvolutionner la mode Online ! Are you ,64857294
69,9,Hey guys! Just wondering if there are any ship date updates,64961689
70,58,Updates I really would like to my my kit before Halloween.,65597458
71,11,Commodore64 support LoL!,66038634
72,3,"Everyone Q Anyone able to share where they have been successful in locating suppliers of the PLA, ABS and other types of pellets needed as raw materials, or empty spools to wind the output onto Id like to line up some suppliers for myself before my unit ships to me in Canada. Im going to start looking for local companies that might be using a lot of filament, to see if I can acquire their empty spools. Im also going to comb for any suppliers who might be recycling plastics in my area to see what quality purity of raw pellets they produce, and their pricing.",67069836
73,1,"Hello Leslie, Glad to hear that you are enjoying them! We are taking orders for The Filament Safe online at www.perceptioneng.com .",67994544
74,5,stoked! cant wait to test this ,71378264
75,19,"Hi Rob, Yes on Saturday I should be releasing that and other new updates Thanks Alex",71400780
76,22,Congratulations on being successfully funded guys!,71527287
77,34,"My boys 4  6 absolutely love Sparkle Stories, and so do my husband and I! While we are Android users and wont get to enjoy the new app for a while, we are thrilled to contribute and support the growth of Sparkle Stories. Thank you for the many, many hours of joy you bring our children.",73557742
78,238,So if I have a tv and a mediaplayer and airconditioner in the same room but no in the same visual space it wont work thats righthow big is the angle it can catch,73646160
79,114,"Melissa We put a lot of thought into the bike theft issue when we designed Spark. Currently, there are no proven methods to stopping thieves if they want something bad enough, theyll find a way. However, here are some of the stuff we did to improve Sparks antitheft features 1. LCD screen  Battery are both removable so the rider can take it with them when they lock up Spark. 2. The seat also has a quick release so the rider can take it as well. A bike with no seat has been proven to deter theft more than a bike with a seat intact. 3. The tires are NOT quick release. The only way for a thief to steal your tire is with the aid of a tool. Heres an education guide to help prevent theft of bikes httpwww.protection.uottawa.caenpreventbiketheft.html Shocke Bikes",75061840
80,43,Great. Is it possible to add additional 5  to my existing pledge to receive a TopHat when there is no TopHat included in the pledge level,78732662
81,53,"I come from a long career in data processing before it was called IT in the financial services industry. In my early years I programmed in six different languages and after getting into management I enjoyed using a TRS80 and IBM PC to write BASIC programs just for fun. There was always something special to me about a computer that would just boot up ready to use BASIC. And that is what Chuck Hellebuyck makes available to everyone again with this project a small, selfcontained, and ready to use i.e. no soldering computer that runs the MMBASIC interpreter which is very close to Microsoft BASIC GWBASIC that ran on my TRS80. IMO, the BASIC programming language, unlike the C language variants, uses a strait forward syntax that is easy to work with and is a great way to learn programming. It should also be noted that the Maximite board design interfaces with Arduino shields so it can be used to learn about this common microcontroller platform that is used in robotics and to drive 3D printers. I hope my comments help you decide to back this project to meet its goal and much more so we all have access to a dedicated BASIC computer again.",81023186
82,29,Refund please. Waited long enough.,81256561
83,5,"Hi, I am still waiting for your feedback on my message sent 4 months ago Hi, As I wrote you in email my SD card and USB key unfortunately do not work. I look forward to getting your feedback soon. Regards, Igor",83478995
84,49,Just posting the inevitable Any updates message. ,83654016
85,33,Thanks! Glad you are enjoying Android. WordPress will be in a similar format. Keep an eye out for part 3 of Android to be released on the 14th!,85361299
86,3,"Any news anyone Id love to get the reward, its coming on 2 years since we funded this..",86000746
87,43,"It seems like many elements of this system are about future proofing. I look forward to what the future brings. I have a 40W laser cutting table. It does seem to be a huge system for a laser. I dont know how it will work for hyrel just yet, but I trust that they will be creative. Also, Craig  Missed your input. I look forward to the expertise you can bring to this.",86514727
88,63,"By now, you should have received the shipping confirmation email. Please reply to that email with the requested info. There isnt an online form, just reply to email to confirm or change your shipping address, add your phone number, and let us know what smartphone that you are currently using. Thank you!  the spike team",86984378
89,29,"Andreas, The green and red yoyos in the pictures were tumbled which is why they have a shiny appearance. The final versions of the yoyos will be blasted which will give them a matte finish like the blue yoyo. At this point these pictures are the best we can do to give everyone a feel for what the yoyos will look like. Once I get the final yoyos in hand Ill be taking more pictures of the actual yoyos we will be shipping out.",88770911
90,0,"My 2 cents, focus on the rest of the software to get it stable and reliable and if needed, release WiFi later. Adding a feature like that at this point would only delay the delivery.",91525841
91,75,"Hey AJ, any updates on this project Thanks, Mike",92291454
92,143,"3 Questions  Would it be possible to order multiple knobs only  Would the app have features like a timer, so that I could turn off the stove automatically in 5 minutes  Would there be an API, so that I could write my own hacks on top of the devices",93094198
93,29,"I have a few questions that I didnt see answered in yor video or project description 1 will the future expansion modules be as outdoor ready as main unit and how will it connect 2 you mention future plans for a smartphone app to avoid port forwarding, but if there is no cloud service, how would you avoid it 3 what type of authentication will web interface support to limit access 4 as a dabbler in home control and automation, will there any interface or documented methods to read or change settings or other ability to handoff alerts i have a twelve station controller all in use so would be interested in expansion capabilities. Thanks in advance for your answers and good luck.",93266961
94,10,"Same here, could not get the dev environment working correctly. It feels like it has been hacked together and hasnt been updated since.",93861686
95,45,Congrats on the 300 !,95862137
96,8,Thank you to EVERYONE who has gotten us this far! We are so close to our goal... lets do this!,96481121
97,9,"Hi, I would like to receive one that works, never worked from day one. I sent email on website, never got an answer...Not a very good start I would say with your company. Please send me a new one, a working one. Stephan",96886429
98,52,I also am not able to find an email to leave details of my dogs name and details. Name Keegan Herold Breed Border Collie In memorandum Aug 2013,97230960
99,24,"Jim, yes there will be detour boards!",98199993
100,5,"Hi Chris, I have received my lilbot and have been playing around with it quite a bit. I love the little bot! Thanks!",99286835
101,9,"Thank you. Received my Flowpaw yesterday. Looks cool. Wont be able to have a play till Christmas, hope my sons not too daunted by it.",100464296
102,2,"Hi, Any updates videos we can see estimations Thank you and good luck!",101368510
103,1943,"Wilhelm  Alice  We want to be clear, WobbleWorks is NOT selling the 3Doodler anywhere but right here for preorder on Kickstarter. We are looking into what is going on, but it looks like any other site are either a fake or b people who have backed the project on Kickstarter who are selling off their pens . Thanks for bringing this to our attention.",101767263
104,3,Congratulations on rising the funding !,102860361
105,23,Looking great guys!! Keep up the good work.,104770841
106,25,John yes this is something that could be done for sure! Ive sent you a message with details regarding a customized design!,106776189
107,27,Hi James I updated you just now and all other backers with pm . Thank You,107206217
108,30,"I havent received any notification on shipment. I realize you are successfully busy, but I would appreciate knowing when I can expect my materials.",109042333
109,1,"Hi Tom, Is there a way to get access to the site without a github account I dont want to create yet another account for this purpose! Thanks, Siva",109094804
110,5,Were almost through January  any updates,110176601
111,59,"Maybe down the track, you could think of make a garden light version, charges all day, runs all night and have snap on coloured filers for effects, hate the rechargeable battery types, they always die in no time at all and are not waterproof, just thinking.... ",110790680
112,30,"Congratulations, you better get working on some stretch goals!",110981130
113,601,"Larry Ho, If i use the Geek for lineout only, which Geek model is the best. I understand that, as a general rule of thumb, the best preamp performance is obtained when volume control is around 11 oclock position or thereabout, for normal listening volume. If the lineone out voltage is too high, then i wont achieve the best preamp performance. Can you advise ",111355491
114,41,"Inspirational! Cause, fun, and fire...",113267100
115,49,"This is a letter that I sent to Ben, before Id pledged. Could not post here until then. Dec 26, 2014 I also think that this is one of the best products currently in this whole list of projects. Great product, that deserves a better showing. A camera crane without the complications. Ive noted a lot on Kickstart that the products that do well, have had a brilliant advertising video, sometimes better than the product. If it does not make its funding, dont give up. I like it a lot and would come on board, but for the fact that I have already used up my allocation on some other kickstarts including the ZANO micro quadcopter. Look and marvel at there sponsorship. Im sure that you could be there as well. Is there a way of showing this to the GoPro people. As long as its soundly engineered, I am certain that there is a brilliant market for this. Regards David",113356948
116,22,"So.... This is kinda out there but I will share this idea... Could there be a way to use the mindnode style for creating larger projects If I were able to visualize the different tasks and see which tasks depend upon others I think I could get a better grip on setting datestimes for completing the different steps in a task tree. even if you could only display a task group in a mindnodemindmap style without editing in that view style I would be happier than without Second request, could the app be social in that we could set public or shareable taskstask groups... Ive started using Tracky with a club I am part of but that service is very basic and my group has a large enough iOS user base to make this app an alternative.",113478404
117,8,We just added another 5 to our pledge since you are our featured Kickstarter project once again! We are cycling between the Seed Chicago Projects.,116262908
118,6,"I dont know how you do it but I love it, all the others are horrible about spilling, GREAT JOB",117019513
119,14,"Hi Neil, It is not supposed to have a battery bottom as the batteries should stay in. If you are having problems with this please let us know. The micro USB cable is now the standard for all phones sold  we did note that we would not be including one but are sorry if you didnt spot this it was under the accessories section and were expecting one. It would be great if you could email or email a link of a short video to show this to contactrobotiky.com In general it is a lot easier to diagnose any issues via email as sometimes we are not notified immediately that we have received a new comment. So we will get right onto it once you send us a message. Just as a quick check  please go into options and check that the line follow on basic commands is set to false. Thanks",118939049
120,20,Hi Matt! I met you at the Atlantis Social Dinner at Dixie Crossroads back in July at the table with Angela and Ranz. Congrats on reaching the goal and Im glad I could support this project!,120120650
121,42,"Hi Robert , Thingy is on the way thanks for the reply. Enjoy the Tshirt ",120572553
122,24,"Hi guys, if you have problems with the vouchers head on over to httphelp.codeschool.com and let us know, well probably need your account email at the very least to get things fixed up. Adam R",120872390
123,125,"Jason Doege, PR Taylor, Paul Kourany, Francisco Javier Snchez Rivas, Peter Hollands, nick weldin, burkmurray So glad youve received! Thanks for the messages! Ariane Nazemi 2color signatures aka colorcodes arent supported yet. They will be soon, hopefully before the end of April. Were running a little slow with all the emails... You might check out this info to help tweak the signature generation httpcmucam.orgprojectscmucam5wikiSomeTipsonGeneratingColorSignatures George Konstantinou less light can sometimes mean underexposure. Were working on some improvements to the autoexposure compensation. This link contains some specific info that youll find useful httpcmucam.orgprojectscmucam5wikiSomeTipsonGeneratingColorSignatures J Dubrow sent you a message. Lets keep hardware and software issues out of the KS site. thanks!",121842661
124,9,less than a week  httpwww.kickstarter.comprojects1369857650realpythonforwebdevelopmentfeaturingweb2pyposts,122605684
125,6,"Mine also arrived today, thanks Paul.",123869229
126,104,"Chaiyut If you mean for max current, like for charging, we are limited to 500mA .5A, so 1A would be fine.",124023981
127,12,Is the plan to keep these available for the long term in some form i.e. 35 years Im planning on introducing these to my lab as a prototyping tool and Id like to know if these are going to be available. Go Olin!,124762527
128,61,Awesome! Thanks to all my backers! Ill send an update on Friday...,124848186
129,20,Congratz on reaching the goal.,125053771
130,36,Woo hoo  goal has been reached and already 1577 over!,126206621
131,2,"Hey guys, I look forward to see the jacket! Everything ok All the best!",127572572
132,83,Randy. Like you I am waiting as well. Delays are not at all unusual in product development and a risk of kickstarted and co. I had the same with the Pebble watch which was almost or just over a year late. It will come when it comes.,128198632
133,10,Can Throwaway make it in the final furlong,130710438
134,208,Ditto!!!  Stretch Goal headers presoldered and enclosures.,131971192
135,2,"Ive uploaded the first release of my Perf editor to httpsgithub.comMyndalePerfy in case anyone is interested in having a play andor being a tester. The binaries folder contains a standalone installer while the inapp help function contains details on how to use it. All feedbackbug reports etc welcome. Ben, will the new site have a forum or wiki for us to share things like this and our Perf projects",133238974
136,54,Is there any plans to make a 220 version Id purchase one in a heartbeat if it was 220,134357474
137,55,"Hi Ross, What info do you need James",135021080
138,3245,"No problem... I personally dont mind the wait, I currently have an adequate flashlight as Im sure others do... I appreciate that you are adding little extras into the Flex, which will make it cooler than the Prime... See there I go again, thinking the Flex is better... LOL... Thats a big chunk of change KS takes! I assume there would of been some sort of fee with the Amazon payment too if the funds were released right away... but I assume they collect the interest over the 30 days as their fee Interesting insight behind the scenes.",136125612
139,753,June 6th is upon us,136791303
140,69,"Marinda Thanks for reaching out! You will get your tracking code during this week, please fill in marinda.changgmail.com at shipping.getnarrative.com Kindly, Elisabet",139868488
141,6,Josh Apter I have pledged for the 99  international postage Early Bird Special  I have an ipad air  I assume that you can substitute an Air Clip adapter for the Tshirt,143131956
142,17,What spec computer is required to connect Verve 2 Does it require Windows Will it run with Linux Will it work if connected to a Raspberry Pi,146639722
143,81,"So excited for this. Ive been in love with the idea of a softwarepatchable digital modular system ever since the Nord Modular G2 was a thing. And this just looks like a whole TON of fun! Have pledged, best of luck! Not that youll need any luck by the looks of things ",147947813
144,8,Thanks for the sticker and for all the work so far.,148069053
145,3,"QuestionsSuggestions 1. Amazon  I believe that like many products that claim to be great which being optimistic I believe yours will be it really isnt known for sure until you check the Amazon reviews. Do you plan on setting up shop like many other KS creators and using that as a platform to market this as well as future products and accessories to the masses because again assuming all goes well with this Ill be sure to write a review. Also considering US backers use Amazon to checkout on KS thus indicating they have an account, establishing yourself there would be a good idea, no Another reason is because as Im sure like other backers so many products nowadays want us to sign up for another site that avoiding to have to remember another username and password would be greatly appreciated. 2. Official Return Policy andor Warranty Manufacturers or otherwise  Could you specify in detail exactly what your warranty covers and what it does not as well as outline your return policy if any also going into detail of the processes involved in both cases ex we pay for shipping back or you do etc..., thanks. 3. Material  So this is made out of what material exactly and please dont say metal, a detailed a response as possible is ideal even where sourced from would be helpful. ATTRACT BACKERS 4. Early Bird adopter Specials  KS backers kill for them, and depending on what your budget would allow for because then if done even better some campaigns introduce or actually start with Super Early Bird offers than Early than Midday KS offer below retail. Some add names unique to their own campaign, such as early thiefs idk seeing how their getting in before the you get the idea. FILL YOUR PAGE 5. Stretch Goals  Too late now of course but for future projects Id recommend featuring accolades as well as stretch goals more prominently so as to let potential backers know how well you are already doing andor with plans on a improved product or benefits to compel them to jump on board despite some of the better perks being eaten up already. Ex This project is Dragon Certified which no doubt not for this project but for next perhaps assuming this is successful andor featured in articles on Engadget for example. Considering you dont have the accolades featured obviously Id consider especially since being closer to the finish line placing greater emphasis on the stretch goals. KEEP BACKERS 6. Updates  Will you continue to update your backers updates on current projects, future projects, others questions answered etc through KS comment section, update section, direct message andor email after campaign ends KS is ideal 7. ContactSupport  What are the different ways to contact you after the campaign ends Aside from a website In case of problems etc, it would be in your interest to keep communicating on KS not only with direct messages but comment section questions so that the community can see perhaps answers to questions they hadnt even thought of. Some companies have a number andor email as well. ATTRACT BACKERS 8. Sister Campaign  I suggest trying if you havent already to contact other projects with a similar focus to ultimately create a sister campaign with as others such as Yoropen has done with swivelCard as one example to try garner support from an additional channel though this being so late probably wont be for this campaign but next maybe. 9. Security  Is this device tamper proof from the outside or are their ways a would be thief with time could eliminate the purpose of this device or is it relatively unless they break the door solid in its concept ATTRACT BACKERS 10. ThunderClap  I believe this is a tool LinkMount By the way that is the perfect example of what a Kickstarter campaign is in almost every aspect so study it among others have used to garner support so please research it as well if you havent so you could use it to help. 11. IndieGoGo  I would recommend you be open if you will or have ever operated on another crowdfunding site because if found out many will begin to distrust you not mentioning earlier especially if no good answer is provided why you are relaunching here. 12. Future Discount  For your backers relative to other kickstarter projects some creators like those of the Blink campaign as just one example have made their backers if not generally which Id recommend at least for Earlybirds aware that they would have continued access to special promotions and discounts following the campaignwill you be offering anything similar for yours Like for your future projects like they have such as your v2 if you make one and accessories Also for upcoming releases will you also be contacting us early as well to put us on notice 13. Listing Image Update  Another GREAT way to further inform potential backers of info that might entice them to want to click on your listing such as other successful creators have done and you may have seen is update your main image with custom complimentary text updates within the main picture in addition to your already Staff pick add Listing ending in 3 days or 2 hours left or New stretch goals added or achievedunlocked or 85 accomlished or Earlybird offers dwindling or Additional Early bird offers now offered etcTrust me that will help. 14. Faulty Lock  How would you know if your device is faulty or defective in some way What signs to look out for other than clearly broken in pieces, loose parts noises etc 15. Privacy Policy and Backers Information  What exactly will you be doing with backers information Ex Giving it to 3rd parties or protecting it from them etc Also what is your privacy policy. 16. AddOns and Accessories  A carry bag for travel again that would be an idea for a stretch goal not now since your finished 17. Maintenance  Regarding proper care to maintain the ring for longevity, what would be recommended Special sprays, cleaners, updates, equipment in the form of tools, etcthose to use and avoid would be helpful I appreciate you taking the time to read all of these if you could and await your replies. This hopefully should help you.",149890531
146,21,"Hello Weineng, When the boards come in I will make a easy to follow tutorial video. Thanks for the support! Zach Houser",150879653
147,46,"2 The snapray light is way too bright. No way I can use this in bedrooms.. Snapray is more for rooms that are not inhabited that much at night always, family room, etc. Bedrooms are not good candidates.",154186221
148,16,Im in Singapore too and still waiting for my 2 Romos. Whats happening guys,157324543
149,57,"Got my board today, it is AMAZING! It feels so solid and looks very clean. Really awesome job, way beyond what I had hoped for.",158839303
150,11,"Done  have increased my pledge accordingly 60, if you could note to add leggings that would be great  thank you!",159764729
151,25,"Love the project. Can you tell me a bit about the circuit design Does it use a microcontroller, and if so which one Is it possible to reprogram",160970457
152,35,Just backed the Ninja Block with a little push from Mark! Hoping to get my ninja block in stealthy black!,162198617
153,89,"Whatd be the odds of eventually a windows port of this. I mean were all linux geeks here right Fantastic. The issue for me is , I use dropbox a lot for my work and many most of my clients are windows people. That makes dropbox ideal although damn it dropbox gets goofy on linux sometimes but Id really like to support an open source tech that can be adapted and tweaked to our needs. Either way, good job sir, and nice call on using git ",167030691
154,20,can you check on my nope thank,167220657
